{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2694480175782399e+01, 'y':0.0000000000000000e+00, 'z':0.0000000000000000e+00, 'p1':-2.8551579309220456e-04, 'p2':2.2510739735550561e-01, 'p3':-1.0641423116780697e-04, 'S1x':4.4444444444444444e-03, 'S1y':-8.8888888888888906e-03, 'S1z':-1.3333333333333334e-02, 'S2x':4.4444444444444444e-03, 'S2y':-5.5555555555555558e-03, 'S2z':6.6666666666666671e-03,'Hreal':9.9528727008298645e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2180976365667302e+01, 'y':6.1905016169471017e-01, 'z':1.3457643203868142e-01, 'p1':-6.6321025387484911e-03, 'p2':2.2792262812310785e-01, 'p3':1.8088364934748082e-03, 'S1x':8.4339126776016814e-03, 'S1y':-5.3191792746441723e-03, 'S1z':-1.3308593414211159e-02, 'S2x':7.0604856242379894e-03, 'S2y':5.6333983377877383e-04, 'S2z':6.7002924841020571e-03,'Hreal':9.9518490303836515e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2109911295208821e+01, 'y':1.8614106710188318e+00, 'z':1.4442714934702461e-01, 'p1':-1.9400684877460307e-02, 'p2':2.2720082650212803e-01, 'p3':1.7352466946524670e-03, 'S1x':8.4427494641700161e-03, 'S1y':-5.3053883726775740e-03, 'S1z':-1.3308495240796811e-02, 'S2x':7.0586651246246747e-03, 'S2y':5.8400563935409979e-04, 'S2z':6.7004412140182447e-03,'Hreal':9.9518458684011324e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.1969297957518545e+01, 'y':3.0978731119635317e+00, 'z':1.5389633742494069e-01, 'p1':-3.2110379602775331e-02, 'p2':2.2576413959580496e-01, 'p3':1.6559647369840298e-03, 'S1x':8.4515559391118954e-03, 'S1y':-5.2915841058009385e-03, 'S1z':-1.3308401471750542e-02, 'S2x':7.0567945502502220e-03, 'S2y':6.0467347802188468e-04, 'S2z':6.7005782624663555e-03,'Hreal':9.9518427054314695e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.1745394700661592e+01, 'y':4.3948226270049204e+00, 'z':1.6346132146920361e-01, 'p1':-4.5443708846219649e-02, 'p2':2.2347162572703821e-01, 'p3':1.5661530275094923e-03, 'S1x':8.4608371030045395e-03, 'S1y':-5.2769713948156681e-03, 'S1z':-1.3308306364399287e-02, 'S2x':7.0547611659065972e-03, 'S2y':6.2653516405427039e-04, 'S2z':6.7007109302756815e-03,'Hreal':9.9518393591966470e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.1424755100405708e+01, 'y':5.7516865739199572e+00, 'z':1.7305082141383504e-01, 'p1':-5.9395097910189931e-02, 'p2':2.2018485743651153e-01, 'p3':1.4646199946885025e-03, 'S1x':8.4706329757821466e-03, 'S1y':-5.2614782434009470e-03, 'S1z':-1.3308209254358681e-02, 'S2x':7.0525445565052967e-03, 'S2y':6.4969880423739401e-04, 'S2z':6.7008383903187649e-03,'Hreal':9.9518358132465989e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.0996331715751065e+01, 'y':7.1538360177915443e+00, 'z':1.8248879252860178e-01, 'p1':-7.3814446519182231e-02, 'p2':2.1578990811442739e-01, 'p3':1.3511293747395128e-03, 'S1x':8.4808949930600917e-03, 'S1y':-5.2451727561103369e-03, 'S1z':-1.3308110036711750e-02, 'S2x':7.0501429910799661e-03, 'S2y':6.7406362892182263e-04, 'S2z':6.7009589179737187e-03,'Hreal':9.9518320831322837e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.0450557986014772e+01, 'y':8.5857731739760350e+00, 'z':1.9159807050214636e-01, 'p1':-8.8542662871386998e-02, 'p2':2.1018801080090921e-01, 'p3':1.2256066194544122e-03, 'S1x':8.4915793760905467e-03, 'S1y':-5.2281171539530699e-03, 'S1z':-1.3308008137887125e-02, 'S2x':7.0475538459872610e-03, 'S2y':6.9953843688318835e-04, 'S2z':6.7010714929854583e-03,'Hreal':9.9518281829912769e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.9779044210649580e+01, 'y':1.0032158223228738e+01, 'z':2.0020718903102114e-01, 'p1':-1.0342221607541660e-01, 'p2':2.0329244329200780e-01, 'p3':1.0880582847496896e-03, 'S1x':8.5026543102695341e-03, 'S1y':-5.2103562136751186e-03, 'S1z':-1.3307902452326497e-02, 'S2x':7.0447717090803205e-03, 'S2y':7.2605857243707194e-04, 'S2z':6.7011759346540583e-03,'Hreal':9.9518241228965509e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.8974291138973506e+01, 'y':1.1477876158305245e+01, 'z':2.0814937759248828e-01, 'p1':-1.1829782255322674e-01, 'p2':1.9502558604002124e-01, 'p3':9.3854471122334154e-04, 'S1x':8.5141007728700788e-03, 'S1y':-5.1919155701650723e-03, 'S1z':-1.3307791350019176e-02, 'S2x':7.0417877381647792e-03, 'S2y':7.5358810821068946e-04, 'S2z':6.7012729242011742e-03,'Hreal':9.9518199085326164e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.8029569795241731e+01, 'y':1.2907643089271460e+01, 'z':2.1525854692398588e-01, 'p1':-1.3301239448542640e-01, 'p2':1.8531768462864889e-01, 'p3':7.7719184311232561e-04, 'S1x':8.5259103974111867e-03, 'S1y':-5.1728047282744802e-03, 'S1z':-1.3307672712101018e-02, 'S2x':7.0385897115800428e-03, 'S2y':7.8211497804245810e-04, 'S2z':6.7013639972750959e-03,'Hreal':9.9518155418954479e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.6938666291631947e+01, 'y':1.4305879707604046e+01, 'z':2.2136675363157143e-01, 'p1':-1.4740573501746140e-01, 'p2':1.7410422387577743e-01, 'p3':6.0417630940436009e-04, 'S1x':8.5380860094900878e-03, 'S1y':-5.1530157702881435e-03, 'S1z':-1.3307543937167222e-02, 'S2x':7.0351613668827688e-03, 'S2y':8.1165251698199546e-04, 'S2z':6.7014515684576028e-03,'Hreal':9.9518110210430943e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.5695827322504718e+01, 'y':1.5656251916196641e+01, 'z':2.2629983727358371e-01, 'p1':-1.6130980586977406e-01, 'p2':1.6132536190824148e-01, 'p3':4.1974593315501042e-04, 'S1x':8.5506401734866625e-03, 'S1y':-5.1325252510576467e-03, 'S1z':-1.3307401964497678e-02, 'S2x':7.0314822239454225e-03, 'S2y':8.4223620398310624e-04, 'S2z':6.7015389502555079e-03,'Hreal':9.9518063405561730e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.4345483561788036e+01, 'y':1.6899258986655518e+01, 'z':2.2977737771517565e-01, 'p1':-1.7411184589263171e-01, 'p2':1.4743738584698454e-01, 'p3':2.3099792268875554e-04, 'S1x':8.5631517516597064e-03, 'S1y':-5.1120218637632706e-03, 'S1z':-1.3307248942450089e-02, 'S2x':7.0276650823275586e-03, 'S2y':8.7283720329043614e-04, 'S2z':6.7016271977710052e-03,'Hreal':9.9518016577847723e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.2896865449301551e+01, 'y':1.8026353055639905e+01, 'z':2.3176413767575976e-01, 'p1':-1.8572348209653888e-01, 'p2':1.3253486699339509e-01, 'p3':3.9150351991765409e-05, 'S1x':8.5756242551299107e-03, 'S1y':-5.0915049706378229e-03, 'S1z':-1.3307082912594470e-02, 'S2x':7.0237056741484184e-03, 'S2y':9.0345403820776761e-04, 'S2z':6.7017205100231387e-03,'Hreal':9.9517969727070488e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.1359882250939593e+01, 'y':1.9029776221940427e+01, 'z':2.3223455376313668e-01, 'p1':-1.9606442297402374e-01, 'p2':1.1671941081603195e-01, 'p3':-1.5454718786350630e-04, 'S1x':8.5880610370038975e-03, 'S1y':-5.0709733581280354e-03, 'S1z':-1.3306902220265147e-02, 'S2x':7.0195999336857880e-03, 'S2y':9.3408456550655398e-04, 'S2z':6.7018229748427157e-03,'Hreal':9.9517922853033980e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':9.7450547159675747e+00, 'y':1.9902614393648872e+01, 'z':2.3117299272586639e-01, 'p1':-2.0506301777812155e-01, 'p2':1.0009896930920856e-01, 'p3':-3.4882169924360434e-04, 'S1x':8.6004652018892291e-03, 'S1y':-5.0504252697255681e-03, 'S1z':-1.3306705556967760e-02, 'S2x':7.0153441028544677e-03, 'S2y':9.6472601701128242e-04, 'S2z':6.7019384674331748e-03,'Hreal':9.9517875955515267e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':8.2847653133209604e+00, 'y':2.0551315412573089e+01, 'z':2.2899746899840112e-01, 'p1':-2.1175372354094904e-01, 'p2':8.5065802907499155e-02, 'p3':-5.1738272297659779e-04, 'S1x':8.6112372651723345e-03, 'S1y':-5.0325252936913164e-03, 'S1z':-1.3306520649857437e-02, 'S2x':7.0115150822826810e-03, 'S2y':9.9140229492468597e-04, 'S2z':6.7020523820049884e-03,'Hreal':9.9517835117430953e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':6.7814577963951201e+00, 'y':2.1093115345087419e+01, 'z':2.2565970453146253e-01, 'p1':-2.1734467272467009e-01, 'p2':6.9586662265821941e-02, 'p3':-6.8455144427969088e-04, 'S1x':8.6219883046842818e-03, 'S1y':-5.0146093795278386e-03, 'S1z':-1.3306322569306970e-02, 'S2x':7.0075678995065492e-03, 'S2y':1.0180818220512533e-03, 'S2z':6.7021809829335768e-03,'Hreal':9.9517794261283121e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':5.2429423686525016e+00, 'y':2.1525172010952200e+01, 'z':2.2116829336631677e-01, 'p1':-2.2180622988719711e-01, 'p2':5.3741828443592640e-02, 'p3':-8.4947473456603172e-04, 'S1x':8.6327196331105211e-03, 'S1y':-4.9966755555743755e-03, 'S1z':-1.3306111190059776e-02, 'S2x':7.0035009654910120e-03, 'S2y':1.0447618491984229e-03, 'S2z':6.7023261107911243e-03,'Hreal':9.9517753386981700e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':3.8830757638062101e+00, 'y':2.1809819616092319e+01, 'z':2.1633755311971922e-01, 'p1':-2.2474847771527892e-01, 'p2':3.9734253847857566e-02, 'p3':-9.9036285223305870e-04, 'S1x':8.6420334310998714e-03, 'S1y':-4.9810690135989669e-03, 'S1z':-1.3305916711422510e-02, 'S2x':6.9998672055314546e-03, 'S2y':1.0679535920391457e-03, 'S2z':6.7024669056053804e-03,'Hreal':9.9517717839107256e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.5079880891790571e+00, 'y':2.2008668530640872e+01, 'z':2.1065899004760097e-01, 'p1':-2.2680718698504840e-01, 'p2':2.5567441343849868e-02, 'p3':-1.1283611510236689e-03, 'S1x':8.6513335834313542e-03, 'S1y':-4.9654458231915884e-03, 'S1z':-1.3305712490465683e-02, 'S2x':6.9961414236833445e-03, 'S2y':1.0911414668155353e-03, 'S2z':6.7026221637333785e-03,'Hreal':9.9517682277286479e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.3268466707366282e+00, 'y':2.2109882660476867e+01, 'z':2.0515632751100019e-01, 'p1':-2.2785865913606318e-01, 'p2':1.3396803200220646e-02, 'p3':-1.2434021672603462e-03, 'S1x':8.6592575562401616e-03, 'S1y':-4.9521023853395510e-03, 'S1z':-1.3305530820437150e-02, 'S2x':6.9928897063469770e-03, 'S2y':1.1109198654326855e-03, 'S2z':6.7027665182373009e-03,'Hreal':9.9517651926254869e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.4194358223048864e-01, 'y':2.2147757085841896e+01, 'z':1.9906061391352639e-01, 'p1':-2.2825751534723371e-01, 'p2':1.1855939884795139e-03, 'p3':-1.3556108428169583e-03, 'S1x':8.6671718765471157e-03, 'S1y':-4.9387447269246317e-03, 'S1z':-1.3305342613343492e-02, 'S2x':6.9895706525749737e-03, 'S2y':1.1306926279831271e-03, 'S2z':6.7029220989232733e-03,'Hreal':9.9517621564961123e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.0433267586106669e+00, 'y':2.2122172505827077e+01, 'z':1.9238569602576935e-01, 'p1':-2.2800236188940437e-01, 'p2':-1.1031219442440818e-02, 'p3':-1.4646606705291767e-03, 'S1x':8.6750765082132201e-03, 'S1y':-4.9253718656888830e-03, 'S1z':-1.3305148230482637e-02, 'S2x':6.9861842943776536e-03, 'S2y':1.1504584447339968e-03, 'S2z':6.7030890462886758e-03,'Hreal':9.9517591193353050e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2255676083992979e+00, 'y':2.2033191393983586e+01, 'z':1.8514711000538733e-01, 'p1':-2.2709367728643567e-01, 'p2':-2.3218633446360059e-02, 'p3':-1.5702321468906912e-03, 'S1x':8.6829713116510967e-03, 'S1y':-4.9119828257557317e-03, 'S1z':-1.3304948094386197e-02, 'S2x':6.9827307859610960e-03, 'S2y':1.1702160169439404e-03, 'S2z':6.7032673850160752e-03,'Hreal':9.9517560811385020e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-3.4665309250686573e+00, 'y':2.1870750254982287e+01, 'z':1.7691338059557324e-01, 'p1':-2.2542801475802152e-01, 'p2':-3.6013387799570931e-02, 'p3':-1.6775572590246432e-03, 'S1x':8.6912942814466147e-03, 'S1y':-4.8978304926315013e-03, 'S1z':-1.3304731115378709e-02, 'S2x':6.9790126471676274e-03, 'S2y':1.1910621253126026e-03, 'S2z':6.7034678991442628e-03,'Hreal':9.9517528728316007e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-4.7784927767465986e+00, 'y':2.1620352423348365e+01, 'z':1.6747993849750015e-01, 'p1':-2.2285581186332037e-01, 'p2':-4.9542411919426863e-02, 'p3':-1.7870325850077105e-03, 'S1x':8.7001634952238571e-03, 'S1y':-4.8827052038208987e-03, 'S1z':-1.3304493786790057e-02, 'S2x':6.9749630789686526e-03, 'S2y':1.2132951946384396e-03, 'S2z':6.7036954889242483e-03,'Hreal':9.9517494477229862e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-6.1474963587552178e+00, 'y':2.1269801918806255e+01, 'z':1.5680427706247957e-01, 'p1':-2.1925096517070458e-01, 'p2':-6.3662180291225196e-02, 'p3':-1.8967204864182758e-03, 'S1x':8.7095322153933914e-03, 'S1y':-4.8666758237741964e-03, 'S1z':-1.3304237102859098e-02, 'S2x':6.9705875392935233e-03, 'S2y':1.2368015129827123e-03, 'S2z':6.7039510562841784e-03,'Hreal':9.9517458224111288e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-7.5572776201637417e+00, 'y':2.0808701987637686e+01, 'z':1.4487152192037123e-01, 'p1':-2.1450583970628509e-01, 'p2':-7.8205310831657160e-02, 'p3':-2.0045496866032005e-03, 'S1x':8.7193476910585165e-03, 'S1y':-4.8498209559002308e-03, 'S1z':-1.3303962658242605e-02, 'S2x':6.9658955987129123e-03, 'S2y':1.2614526473157298e-03, 'S2z':6.7042347898120481e-03,'Hreal':9.9517420157353742e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-8.9922255017657751e+00, 'y':2.0227919184839699e+01, 'z':1.3167356415586390e-01, 'p1':-2.0852576956901889e-01, 'p2':-9.3011082518747776e-02, 'p3':-2.1085622184197120e-03, 'S1x':8.7295706464830588e-03, 'S1y':-4.8321955777847290e-03, 'S1z':-1.3303672128396032e-02, 'S2x':6.9608919167480311e-03, 'S2y':1.2871546219098559e-03, 'S2z':6.7045465986261083e-03,'Hreal':9.9517380411992851e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.0437261827827037e+01, 'y':1.9519291734765037e+01, 'z':1.1720713100465725e-01, 'p1':-2.0122605290075224e-01, 'p2':-1.0792419756276259e-01, 'p3':-2.2068857012302284e-03, 'S1x':8.7401745820896107e-03, 'S1y':-4.8138319054857239e-03, 'S1z':-1.3303367262993037e-02, 'S2x':6.9555760430719000e-03, 'S2y':1.3138465765110286e-03, 'S2z':6.7048860894812386e-03,'Hreal':9.9517339071723721e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.1877115510321548e+01, 'y':1.8675644244493441e+01, 'z':1.0147797148027983e-01, 'p1':-1.9253210136362173e-01, 'p2':-1.2278729156266903e-01, 'p3':-2.2976645559646828e-03, 'S1x':8.7511410264599215e-03, 'S1y':-4.7947472699911269e-03, 'S1z':-1.3303049997112047e-02, 'S2x':6.9499442545978597e-03, 'S2y':1.3414892360872571e-03, 'S2z':6.7052524097090203e-03,'Hreal':9.9517296186730808e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.3296497628094745e+01, 'y':1.7690421157713125e+01, 'z':8.4496560938349285e-02, 'p1':-1.8237566195815713e-01, 'p2':-1.3744273785311972e-01, 'p3':-2.3790552523751019e-03, 'S1x':8.7624617189556962e-03, 'S1y':-4.7749400136141732e-03, 'S1z':-1.3302722366641625e-02, 'S2x':6.9439879636335354e-03, 'S2y':1.3700708278730532e-03, 'S2z':6.7056442999881795e-03,'Hreal':9.9517251764384063e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.4679704395314696e+01, 'y':1.6557539860245896e+01, 'z':6.6278910842713451e-02, 'p1':-1.7069329828264876e-01, 'p2':-1.5172854691520710e-01, 'p3':-2.4491787869610087e-03, 'S1x':8.7741373466685597e-03, 'S1y':-4.7543912806593926e-03, 'S1z':-1.3302386524450885e-02, 'S2x':6.9376937650683567e-03, 'S2y':1.3996043775943632e-03, 'S2z':6.7060600354277369e-03,'Hreal':9.9517205773499184e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.6010233980816007e+01, 'y':1.5271269419489073e+01, 'z':4.6847505876219331e-02, 'p1':-1.5742513454088564e-01, 'p2':-1.6547440470968569e-01, 'p3':-2.5060748777619574e-03, 'S1x':8.7861770037710243e-03, 'S1y':-4.7330655258566532e-03, 'S1z':-1.3302044739814865e-02, 'S2x':6.9310431017707086e-03, 'S2y':1.4301268762365528e-03, 'S2z':6.7064973741616865e-03,'Hreal':9.9517158145298779e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.7228664223809517e+01, 'y':1.3878211074789975e+01, 'z':2.6956395092538735e-02, 'p1':-1.4305127100887285e-01, 'p2':-1.7806627471662331e-01, 'p3':-2.5465088999110656e-03, 'S1x':8.7981670984184739e-03, 'S1y':-4.7116816722047707e-03, 'S1z':-1.3301711220808291e-02, 'S2x':6.9242585163878743e-03, 'S2y':1.4606025665024746e-03, 'S2z':6.7069376418225374e-03,'Hreal':9.9517110490342431e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.8326434947668481e+01, 'y':1.2388085760736335e+01, 'z':6.7369176127553346e-03, 'p1':-1.2767162397434689e-01, 'p2':-1.8941528721643647e-01, 'p3':-2.5700738527117714e-03, 'S1x':8.8101038189991217e-03, 'S1y':-4.6902404196965440e-03, 'S1z':-1.3301388099651094e-02, 'S2x':6.9173443817671272e-03, 'S2y':1.4910317431591788e-03, 'S2z':6.7073764942211971e-03,'Hreal':9.9517062808539958e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.9295825459580747e+01, 'y':1.0811299963121897e+01, 'z':-1.3676300533972563e-02, 'p1':-1.1139324894970762e-01, 'p2':-1.9944118562988594e-01, 'p3':-2.5764743637997317e-03, 'S1x':8.8219835053861117e-03, 'S1y':-4.6687430716848277e-03, 'S1z':-1.3301077213327689e-02, 'S2x':6.9103048800167981e-03, 'S2y':1.5214153942380930e-03, 'S2z':6.7078096315906933e-03,'Hreal':9.9517015099802708e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.0130009420110810e+01, 'y':9.1588735157750669e+00, 'z':-3.4146241635157143e-02, 'p1':-9.4329601057567755e-02, 'p2':-2.0807290005820189e-01, 'p3':-2.5655296722505742e-03, 'S1x':8.8338027437387355e-03, 'S1y':-4.6471915026858653e-03, 'S1z':-1.3300780055909124e-02, 'S2x':6.9031438905404387e-03, 'S2y':1.5517551592122169e-03, 'S2z':6.7082329075984753e-03,'Hreal':9.9516967363974429e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.0727103476838131e+01, 'y':7.7067918585401385e+00, 'z':-5.1447825722451664e-02, 'p1':-7.9331322650271291e-02, 'p2':-2.1425477331439188e-01, 'p3':-2.5426040645629569e-03, 'S1x':8.8437767287842875e-03, 'S1y':-4.6288733318670958e-03, 'S1z':-1.3300539640274970e-02, 'S2x':6.8969781921353682e-03, 'S2y':1.5774529550016657e-03, 'S2z':6.7085812495777915e-03,'Hreal':9.9516926859205745e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1219668617426350e+01, 'y':6.2159206826822118e+00, 'z':-6.8605792546248046e-02, 'p1':-6.3929167459584851e-02, 'p2':-2.1935784503765210e-01, 'p3':-2.5071827757489730e-03, 'S1x':8.8537033687833191e-03, 'S1y':-4.6105196066021613e-03, 'S1z':-1.3300310353082207e-02, 'S2x':6.8907294617346609e-03, 'S2y':1.6031224389959754e-03, 'S2z':6.7089175222965194e-03,'Hreal':9.9516886334866739e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1605195424458064e+01, 'y':4.6937693982765953e+00, 'z':-8.5535465146536246e-02, 'p1':-4.8200599742477993e-02, 'p2':-2.2335579180695583e-01, 'p3':-2.4593549615645328e-03, 'S1x':8.8635812621124556e-03, 'S1y':-4.5921322606508686e-03, 'S1z':-1.3300092420136909e-02, 'S2x':6.8843992456742772e-03, 'S2y':1.6287654967474183e-03, 'S2z':6.7092397760818590e-03,'Hreal':9.9516845790916586e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1850112337413258e+01, 'y':3.3623319299673371e+00, 'z':-9.9882371094186517e-02, 'p1':-3.4440068290781695e-02, 'p2':-2.2589925738394481e-01, 'p3':-2.4082800575410826e-03, 'S1x':8.8720567059318647e-03, 'S1y':-4.5762556931260015e-03, 'S1z':-1.3299913665562732e-02, 'S2x':6.8788776954467491e-03, 'S2y':1.6508519953596882e-03, 'S2z':6.7095050287402707e-03,'Hreal':9.9516810823501345e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2013073178600294e+01, 'y':2.0183368425756409e+00, 'z':-1.1394376024705487e-01, 'p1':-2.0547304728678308e-02, 'p2':-2.2759597339397100e-01, 'p3':-2.3482291178322612e-03, 'S1x':8.8804945278174244e-03, 'S1y':-4.5603571311631725e-03, 'S1z':-1.3299743217491500e-02, 'S2x':6.8732970785634314e-03, 'S2y':1.6729218030138526e-03, 'S2z':6.7097576931656354e-03,'Hreal':9.9516775841502247e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2085787526624348e+01, 'y':8.9285229479546446e-01, 'z':-1.2540079464101692e-01, 'p1':-8.9113934130489476e-03, 'p2':-2.2835791206298173e-01, 'p3':-2.2914740800391987e-03, 'S1x':8.8874941158093058e-03, 'S1y':-4.5470981232032855e-03, 'S1z':-1.3299607395444875e-02, 'S2x':6.8686036856884592e-03, 'S2y':1.6912939624349644e-03, 'S2z':6.7099580126673787e-03,'Hreal':9.9516746690872770e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2100994448293374e+01, 'y':-2.3492015267338950e-01, 'z':-1.3659330445721352e-01, 'p1':2.7498747383102439e-03, 'p2':-2.2852535497422061e-01, 'p3':-2.2287197716007526e-03, 'S1x':8.8944672025782073e-03, 'S1y':-4.5338257564554478e-03, 'S1z':-1.3299476947080150e-02, 'S2x':6.8638696820802932e-03, 'S2y':1.7096564184902912e-03, 'S2z':6.7101487545592579e-03,'Hreal':9.9516717530103671e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2058644306173115e+01, 'y':-1.3620439305142529e+00, 'z':-1.4749191003902165e-01, 'p1':1.4406137279347258e-02, 'p2':-2.2809763346140147e-01, 'p3':-2.1600958152898503e-03, 'S1x':8.9014137442241618e-03, 'S1y':-4.5205409127716586e-03, 'S1z':-1.3299351603880847e-02, 'S2x':6.8590950763652231e-03, 'S2y':1.7280100373496499e-03, 'S2z':6.7103296814969146e-03,'Hreal':9.9516688359184935e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1953360718740257e+01, 'y':-2.5329122585018071e+00, 'z':-1.5850698041858657e-01, 'p1':2.6516594905761449e-02, 'p2':-2.2701941642964057e-01, 'p3':-2.0824836240393683e-03, 'S1x':8.9086254639579535e-03, 'S1y':-4.5066826628245345e-03, 'S1z':-1.3299226052408778e-02, 'S2x':6.8540755074474480e-03, 'S2y':1.7471303335406846e-03, 'S2z':6.7105076503946983e-03,'Hreal':9.9516657945451648e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1770259340383522e+01, 'y':-3.7871416131520830e+00, 'z':-1.6995395972134869e-01, 'p1':3.9491323869873814e-02, 'p2':-2.2513695797465827e-01, 'p3':-1.9920472431892511e-03, 'S1x':8.9163688747884527e-03, 'S1y':-4.4917280627627156e-03, 'S1z':-1.3299096020874604e-02, 'S2x':6.8486137569129845e-03, 'S2y':1.7677367477989430e-03, 'S2z':6.7106873559475517e-03,'Hreal':9.9516625141756532e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1495785331834053e+01, 'y':-5.1120874842145625e+00, 'z':-1.8163927074710437e-01, 'p1':5.3199938126036780e-02, 'p2':-2.2230971691634885e-01, 'p3':-1.8880499939559659e-03, 'S1x':8.9245983212454215e-03, 'S1y':-4.4757509758543874e-03, 'S1z':-1.3298962661805894e-02, 'S2x':6.8427260503244264e-03, 'S2y':1.7897248355739645e-03, 'S2z':6.7108653393810848e-03,'Hreal':9.9516590110720071e-01}
